"ID","logFC","AveExpr","P.Value","adj.P.Val"
"NDUFS6",-0.587516242428692,7.97028892224118,9.75858246324218e-08,0.0015064323748507
"HPRT1",-0.61152089950429,10.4177426969775,1.31837076773324e-06,0.00242486724999714
"BEX5",-0.675396059135611,8.1774243451808,1.39917832074411e-06,0.00242486724999714
"TRUB1",-0.603888887853801,8.51282503886065,1.87409229525024e-06,0.00242486724999714
"SLC6A17",-0.900464221127926,9.62379138164237,2.34273303417879e-06,0.00242486724999714
"TBC1D9",-0.796201255938115,9.56999714352214,2.93904428683908e-06,0.00242486724999714
"SCG2",-1.00542448714292,9.11027410397477,3.22215662611415e-06,0.00242486724999714
"ENO2",-0.814972709239822,12.9954969599052,3.32773508663938e-06,0.00242486724999714
"SERPINI1",-0.972067815142202,12.8089997845797,3.41634382108123e-06,0.00242486724999714
"KCNAB1",-0.596965379960999,8.00373105645292,3.91385166897205e-06,0.00242486724999714
"DYNLL2",-0.589066295412627,12.0674882002272,3.92703771781619e-06,0.00242486724999714
"AASDHPPT",-0.73047400763283,10.1492669715246,4.28523241452217e-06,0.00244586706273182
"TMEM33",-0.65555082412016,9.24576838318914,4.99966507263367e-06,0.00244586706273182
"ATP6AP2",-0.761827271658451,11.6221662731664,5.62537195976591e-06,0.00244586706273182
"ENC1",-0.810114954507197,10.9222739711195,5.69259147360036e-06,0.00244586706273182
"LYNX1",-1.38741893275898,8.96527065754002,5.70390712303851e-06,0.00244586706273182
"ARL6IP1",-0.737735039812135,14.6557219697773,6.30587899692058e-06,0.00256168037040692
"CMAS",-0.848554817178405,10.1828768848728,6.87920714045853e-06,0.00265485801568146
"RAB3C",-1.24974155033016,10.2916676742247,7.09567246510915e-06,0.00265697525564925
"PRMT8",-0.701809130160449,7.60843626002609,7.36649097668782e-06,0.00265697525564925
"ROCK1",0.797273461726011,10.6489035626114,7.40986307952751e-06,0.00265697525564925
"SYP",-0.622499705560619,9.22267202705895,8.11151496228335e-06,0.00278261014383929
"KIF5B",0.96291979147394,14.9108292701739,8.59898411696132e-06,0.00288570690898982
"EFR3B",-0.809054860060977,8.96890412284745,9.22262387944906e-06,0.00296603426723031
"KLHDC3",-0.808482331365193,10.9961629623114,9.45084764401673e-06,0.0029774027567487
"CHL1",-0.801282506381272,12.2672201806215,9.92690579518528e-06,0.00300629343078671
"CLSTN3",-0.979850763057268,10.0510616868476,9.93204411285369e-06,0.00300629343078671
"DNM1",-0.793753028296059,11.2871922179765,1.03005096735955e-05,0.00302260836704093
"PAM",-0.808244977330867,9.46039123228712,1.05733531010047e-05,0.00302260836704093
"NUDT21",-0.773219577678249,12.1448847276002,1.09575937599394e-05,0.00307549772494881
"SV2A",-1.00571104966357,11.0760794823458,1.15259413346437e-05,0.00307733570855743
"SST",-1.21703671431117,6.85521919529781,1.4434329396237e-05,0.00335586446144188
"ZRSR2",0.680096192970742,8.15115841563721,1.45651952397879e-05,0.00335586446144188
"WASL",-0.784758695025689,10.9321337931157,1.55990869484647e-05,0.00341408191390918
"MAGEH1",-0.745280001929432,11.1269026746679,1.7108447852462e-05,0.00349168345208817
"ARPC1A",-0.592702274471064,11.0871842551672,1.74165722491928e-05,0.00349168345208817
"GABARAPL1",-0.685951595678276,9.36775346930885,1.87082865939791e-05,0.00351475644233117
"PAFAH1B1",-0.659715651650084,13.4025097954669,1.88417109070055e-05,0.00351475644233117
"GAD2",-1.07281036112976,8.58165356685009,1.91892238710729e-05,0.00351475644233117
"SULT4A1",-0.970471582739357,9.56909106640061,1.93247622686163e-05,0.00351475644233117
"PGM2L1",-0.906989428292885,11.4141804108023,1.98084997397689e-05,0.00351475644233117
"USP11",-0.842886565002507,11.0772375445151,2.22349594599638e-05,0.00365702618394497
"PGRMC1",-0.739804650414003,9.98023855416272,2.25687605361419e-05,0.00365702618394497
"BCAS2",-0.759059042432023,11.0230947874352,2.29892640666947e-05,0.00365861102471717
"SVOP",-0.73491412766817,8.04258226144273,2.55201759712502e-05,0.00378888830748527
"IQGAP1",0.911082560107019,9.76632080845707,2.57902142559078e-05,0.00378888830748527
"NDRG4",-0.747859171436264,10.6102651980861,2.63827117024671e-05,0.00378888830748527
"TOMM70",-0.590007114988191,9.65651508744506,2.65077370738103e-05,0.00378888830748527
"RPH3A",-1.15634226093008,9.82386306032175,2.75605877531092e-05,0.00381412110228493
"CRYM",-0.663362694000597,7.79115219417051,2.76725765016462e-05,0.00381412110228493
"NSFP1",-0.865805345063283,13.837329428251,2.94344225729101e-05,0.00390430589829303
"TMEM14A",-0.608728445906706,11.6936348902802,2.98073975784612e-05,0.00390430589829303
"SNX10",-0.673744149688293,9.0124569784946,2.99331028274825e-05,0.00390430589829303
"KIAA0513",-0.683065157224323,10.7946805789731,3.12790819220515e-05,0.00390430589829303
"ITFG1",-0.937522518612782,11.6369065677621,3.15069518588045e-05,0.00390430589829303
"NSF",-0.983598005967544,13.9207628109096,3.21206742944364e-05,0.00390430589829303
"SCG5",-0.616871937312444,9.69852964868861,3.30290426203429e-05,0.00396275627350426
"C1QL3",-0.859658561867111,10.595062883682,3.33630190670804e-05,0.00396275627350426
"ATP5F1A",-0.620494201427883,11.2491624848101,3.33716600087811e-05,0.00396275627350426
"NAP1L5",-0.587772536889432,8.95954788240809,3.44874451077588e-05,0.00399953547900032
"SYT1",-0.654189140771848,14.022775604059,3.58927294111153e-05,0.00399953547900032
"TAGLN3",-0.982145691670675,10.5209031296277,3.60131781810614e-05,0.00399953547900032
"LONRF2",-0.874799728367815,12.1620060625296,3.80941388826544e-05,0.00411230225126948
