"ID","logFC","AveExpr","P.Value","adj.P.Val"
"MATN2",-2.4843085450705,7.3178339730645,5.24173115810969e-08,6.78878515454814e-05
"SLC24A5",2.37198931639174,8.47604034329594,7.3522384275417e-08,6.78878515454814e-05
"TCEAL2",-3.23542280840765,7.57776216389932,9.52789714115797e-08,6.78878515454814e-05
"ID4",-2.09961945398374,8.84633900125158,1.02977400903271e-07,6.78878515454814e-05
"TDRD6",-2.41851762861252,8.47062719720853,3.04688811215838e-07,0.000160692879035233
"NPC2",2.27102804302161,7.55773369844193,5.08786081751865e-07,0.000178629080176207
"NECAB1",-2.17615669608681,8.88920410359662,5.1676925918438e-07,0.000178629080176207
"TAPBPL",1.62461145190923,8.33546235877208,5.41916056658953e-07,0.000178629080176207
"ENOSF1",1.72809205483803,8.52286523690104,8.04822303077504e-07,0.000221908265783763
"SPIRE1",2.51939946019009,7.13843715710829,8.41517883139032e-07,0.000221908265783763
"LLGL1",2.01851273919864,7.54613392325549,9.91061597732252e-07,0.000237584493929086
"STAT6",2.59521514906506,8.97569734605799,1.09899396516148e-06,0.000241503923844235
"PDZD7",1.5281055477534,9.87348122368201,2.95873065127871e-06,0.000589339485205901
"PEG3-AS1",-2.16337178883122,7.33748883004613,3.1288406495573e-06,0.000589339485205901
"SLC26A4",-2.78748344643098,9.39356632183402,5.31023265215133e-06,0.000909063331130929
"C1orf56",1.22953309406767,11.2364133281534,5.5157426234717e-06,0.000909063331130929
"C10orf55",3.03263947624085,9.54948644034517,5.86508930345443e-06,0.000909778852541726
"BCL2",-2.01617363998331,6.57117802557778,6.33576697202406e-06,0.000928189861401525
"LOC100131347",1.87471513534951,6.60206432398042,7.07578759393317e-06,0.000953083859836607
"CITED2",-2.74678363589254,6.92264501731125,7.65859226541482e-06,0.000953083859836607
"AIF1L",-2.10082990626297,6.51445578844277,7.65911296217272e-06,0.000953083859836607
"LGALS3",1.97841759759495,6.93891030878609,8.33289525269094e-06,0.000953083859836607
"DIO2-AS1",-2.81235780304791,6.93424648042784,8.64453015496181e-06,0.000953083859836607
"TNRC6C",3.59608411442258,10.1958757520322,8.67425583469039e-06,0.000953083859836607
"RYR2",-3.04514216662473,6.15886819503017,9.95524251833404e-06,0.00104732281157961
